MATRIX_SIZE; LINEAR_TIME; FAST_LINEAR_TIME; PARALLEL_TIME; FAST_TIME; SIMD_TIME
        100;           0;                0;             9;         2;        22
      14400;           7;                4;            16;        19;        20
     172225;         228;              173;           116;       117;       101
     595984;        1531;             1222;           583;       453;       506
    1108809;        3958;             3076;          1446;      1143;      1351
    1510441;        6195;             4844;          2324;      1826;      2159
    1763584;        7916;             6232;          2978;      2340;      2797
    1904400;        8832;             6957;          3319;      2559;      3094
    1979649;        9571;             7571;          3597;      2806;      3342
    2016400;        9819;             7603;          3659;      2813;      3419
    2033476;        9983;             7799;          3752;      2923;      3506
    2042041;       10017;             7895;          3801;      2992;      3539
    2050624;       10115;             8006;          3771;      2986;      3523
    2059225;       10036;             7848;          3724;      2934;      3479
    2067844;       10215;             7974;          3766;      2918;      3505
    2076481;       10322;             8156;          3845;      3013;      3657
    2085136;       10189;             8029;          3823;      2970;      3590
    2093809;       10530;             8229;          3902;      3027;      3633
    2102500;       10735;             8553;          3936;      3097;      3684
    2111209;       10574;             8257;          3861;      2992;      3641
    2119936;       10603;             8377;          4054;      3158;      3745
    2128681;       10779;             8481;          3962;      3119;      3713
    2137444;       10938;             8642;          3992;      3107;      3739
    2146225;       10950;             8470;          4090;      3196;      3803
    2155024;       10844;             8526;          3987;      3068;      3728
    2163841;       11372;             8842;          4166;      3221;      3846
    2172676;       11356;             8847;          4236;      3375;      4035
    2181529;       10960;             8610;          4080;      3187;      3796
    2190400;       11397;             8805;          4136;      3248;      3890
    2199289;       11194;             8675;          4090;      3181;      3849
    2208196;       11231;             8756;          4131;      3211;      3898
    2217121;       11443;             9022;          4242;      3321;      3987
    2226064;       11372;             8936;          4211;      3280;      3950
    2235025;       11449;             9176;          4297;      3385;      4044
    2244004;       12246;             9183;          4362;      3423;      4094
