Empty_Cells_Count;      Linear_Time;        Parallel_Time
        59;                 9453;                10395
        51;                 2907;                 3575
        43;                   78;                  746
        59;               126205;                62886
        56;                12206;                 7251
        59;                36675;                30100
        59;                17356;                10623
        65;             47205648;             33275564
        56;                 1294;                 1595
        65;             47274027;             33476697
